title,price,property_type,location,publication_date,link
Duplex à nabeul,300 000,Duplex,Cite El Borj 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390590
Villa s8 avec jardin à m,4 000,Maisons,El Manar 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390280
S1 meuble au lac1,1 300,App. 2 pièc,Berge Du Lac,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386239
S2 meuble a carthage moh,1 000,App. 3 pièc,Cite Mohamed Al,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389717
S2 cote carrefour la mar,1 300,App. 3 pièc,Ain Zaghouan,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390588
Appart s1 meublé avec pa,1 050,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388194
Appartement s2 meubl   l,2 000,App. 1 pièc,Sidi Daoud,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390587
Appart s1 haut standing,1 200,App. 1 pièc,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387805
Appartement s1 près coll,1 250,App. 1 pièc,Berge Du Lac,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387799
Appartement s1 près coll,1 250,App. 1 pièc,Jardins de Cart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387798
Apartement une piece,850,App. 1 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380575
Partage chambre cite oly,200,App. 3 pièc,Cite Oplympique,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390585
Villa s5   la marsa ref4,8 000,Maisons,Marsa Ennassim,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390586
Immeuble composé de 3 ap,150 000,Maisons,Essaida Mannoub,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3125800
Appart s1 haut standing,850,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390460
Appart s1 haut standing,1 000,App. 2 pièc,El Menzah 9,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390458
Appart s1 meublé à ennas,1 100,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386111
Belle villa s 5 au jardin de,4 000,Maisons,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390584
Appartement s1 neuf a ai,1 000,App. 2 pièc,Ain Zaghouan,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3313385
Villa avec vue sur mer a,8 500,Maisons,Marsa Safsaf,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3328551
Appartement s2 neuf a an,1 200,App. 3 pièc,Ain Zaghouan,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3313383
Appartement s2 a la mars,5 000,App. 3 pièc,Marsa Safsaf,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3166454
Duplex meublé a gammrth,2 000,Duplex,Gammart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3244117
Rez de chaussée meublé a,2 400,App. 4 pièc,Carthage,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3166450
Appart meuble lac2,3 900,App. 3 pièc,Berge Du Lac,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3141821
Villa jumelée cube,8 000,Maisons,Marsa Safsaf,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3143461
Villa s3 neufs à gammart,4 900,Maisons,Gammart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3177169
Bel s2 jamais habité enn,1 400,App. 3 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382496
S0 jamais habité ennaser,900,App. 1 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382492
S2 meublé haut standing,1 450,App. 3 pièc,El Menzah 7,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389047
S2 au 1er étage,550,App. 3 pièc,Hammam Sousse,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3370709
Grand bureau h4,1 800,Bureau,Zone urbaine no,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358538
Réez de jardin s2 vide,800,App. 3 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385079
S1 vide ou meublé,900,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3375158
S1 neuf haut standing,950,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3369223
S1 de haut standing,950,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388028
Belle villa de 4 niveaux,6 200,Maisons,Jardins de Cart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367647
Centre de coiffure et es,2 000,Maisons,Cite Ennasr 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358877
